tweets,favorites,followers,friends,listed,fav,rt
3507,1482,330,1014,39,0,95
272270,53285,15453,7516,440,3,0
9774,1185,112,719,1,2,0
380,455,23,33,0,1,0
787,759,31,264,2,0,14
3933,4596,1402,454,34,0,14
12866,6003,209,552,14,1,0
26206,4237,457,415,18,0,4
1976,1009,119,156,8,1,0
45326,37179,3560,5001,115,1,0
29111,32401,3152,3457,85,1,0
6304,4566,177,469,4,0,1
8068,10785,167,148,46,0,54
4526,11593,252,344,2,2,0
10323,36127,658,686,21,5,0
5449,2748,1430,744,28,1,0
18139,30872,395,290,21,1,0
75351,52785,1247,4946,26,0,54
45851,27789,893,2786,34,0,0
6185,3838,152,259,2,2,1
41584,29465,900,593,36,1,1
52636,16900,1374,982,60,0,0
1233,7302,28,248,0,0,0
260353,34675,5167,5601,188,2,0
16882,3578,852,408,9,0,0
11250,10479,464,534,18,0,0
7775,8650,3989,348,198,18,2
22,33,5,78,0,1,0
7775,8650,3989,348,198,18,4
92456,5256,792,314,77,3,0
10862,21383,42,104,4,0,0
4766,14179,412,413,10,0,0
13713,20388,446,1054,71,0,0
3507,1482,330,1014,39,0,54
9186,27643,123,1123,10,0,0
8637,3986,113,69,2,1,0
4419,2113,5058,1162,86,0,2
35757,55651,621,971,18,1,0
1820,7342,104,332,1,0,54
79950,103268,856,4154,20,0,0
21899,11570,609,1003,29,1,1
14109,31951,106,310,2,0,0
1315,2387,96,123,3,5,0
75262,591,569,213,41,0,0
17436,5011,6173,6510,147,0,54
272270,53285,15453,7516,440,1,0
9060,3580,62883,565,363,2,0
7753,6106,33940,669,570,0,4
147277,824,1243,1906,117,0,0
8068,10785,167,148,46,0,30
1645,3218,98,219,5,1,0
34712,6011,3551,746,205,2,0
18576,48103,2035,1944,11,1,0
147277,824,1243,1906,117,0,0
2487,3007,24,159,9,0,0
239817,9690,292,359,18,0,54
36202,11293,721,162,34,0,0
22085,6409,853,1815,10,1,0
3617,32,523,83,9,0,0
29111,32401,3152,3457,85,4,0
239826,5750,11760,199,409,6,0
7459,2345,151,530,4,0,0
227470,63120,16452,1000,1286,0,54
4174,12274,394,164,14,0,0
34712,6011,3551,746,205,0,0
787,759,31,264,2,0,54
18956,10912,544,739,13,0,1
7140,10145,205,996,1,0,54
20544,54013,177,97,22,1,0
8637,3986,113,69,2,0,54
52636,16900,1374,982,60,5,0
211,686,30,112,0,0,112
27679,13979,790,1096,35,0,54
8068,10785,167,148,46,0,43
51080,14525,1576,2362,283,0,11
6304,4566,177,469,4,0,1
9060,3580,62883,565,363,265,54
16882,3578,852,408,9,2,0
1094,4764,334,106,5,9,0
10323,36127,658,686,21,5,0
693,1921,22,66,1,0,0
1976,1009,119,156,8,9,2
30355,71604,440,970,52,1,0
6304,4566,177,469,4,0,1
45326,37179,3560,5001,115,1,0
41584,29465,900,593,36,2,1
40166,61614,503,642,5,0,95
7853,1574,64,118,4,0,137
272270,53285,15453,7516,440,1,0
4841,9644,245,387,7,4,1
4306,1098,54,452,2,2,0
8637,3986,113,69,2,0,0
260353,34675,5167,5601,188,10,2
260014,105022,4065,1442,107,5,0
20182,15442,375,115,9,2,0
4922,11,39,8,64,0,0
44895,660,877,617,3,0,1
51879,12296,270,1151,28,2,0
7459,2345,151,530,4,3,0
2301,16,21,55,0,1,0
52636,16900,1374,982,60,3,0
14737,2140,369,257,7,1,0
16882,3578,852,408,9,4,0
79950,103268,856,4154,20,0,0
41584,29465,900,593,36,0,2
20544,54013,177,97,22,1,0
21899,11570,609,1003,29,2,1
19949,21550,718,767,76,0,0
1943,4171,176,668,4,0,0
4306,1098,54,452,2,1,0
167,1030,18,116,0,0,23
19949,21550,718,767,76,3,2
4526,25735,109,226,8,0,0
35565,7295,1312,589,83,0,0
2487,3007,24,159,9,2,0
9186,27643,123,1123,10,1,0
2301,16,21,55,0,1,0
22085,6409,853,1815,10,1,0
29111,32401,3152,3457,85,0,0
260014,105022,4065,1442,107,1,0
3630,5572,107,398,1,1,0
9060,3580,62883,565,363,2,1
14109,31951,106,310,2,0,0
1645,3218,98,219,5,1,0
5605,2604,68,127,5,0,0
260353,34675,5167,5601,188,1,0
147277,824,1243,1906,117,0,0
728,83,83,295,1,0,71
3378,2277,206,679,29,0,0
92456,5256,792,314,77,0,0
4587,1856,47,209,1,0,0
23903,33319,205,666,17,0,14
22,33,5,78,0,0,0
19949,21550,718,767,76,0,0
73350,124142,1984,3026,81,3,0
4844,164,361,872,7,1,1
3129,9926,41264,249,264,0,14
34712,6011,3551,746,205,3,1
36202,11293,721,162,34,1,0
52636,16900,1374,982,60,0,14
48527,9505,593,768,42,1,0
24325,6339,4972,506,50,0,0
260353,34675,5167,5601,188,2,0
4306,1098,54,452,2,0,0
1478,2987,22,218,1,0,0
11250,10479,464,534,18,0,0
8536,16055,344,907,14,0,0
8637,3986,113,69,2,1,0
4419,2113,5058,1162,86,0,14
5230,1014,90,341,4,0,1
19740,1174,228,371,2,0,95
1094,4764,334,106,5,0,14
4002,5278,418,321,2,1,0
35757,55651,621,971,18,0,1
5230,1014,90,341,4,0,1
36202,11293,721,162,34,0,14
2305,5133,36,149,3,10,0
3630,5572,107,398,1,0,0
37866,18444,414,292,4,0,3
2301,16,21,55,0,0,0
1315,2387,96,123,3,1,0
35757,55651,621,971,18,0,3
260353,34675,5167,5601,188,2,0
7775,8650,3989,348,198,59,14
7775,8650,3989,348,198,16,0
231339,17177,4947,3834,389,2,0
19740,1174,228,371,2,0,0
35757,55651,621,971,18,0,1
41584,29465,900,593,36,0,1
5449,2748,1430,744,28,1,0
394,1261,13,237,0,0,2
54372,2458,846,2191,60,0,0
2301,16,21,55,0,1,0
50688,6811,1667,1554,112,0,0
22789,18184,737,310,18,3,0
10669,8825,644,536,1,0,9
454,216,119,128,0,0,95
3470,651,2009,3136,59,4,1
1976,1009,119,156,8,3,1
9060,3580,62883,565,363,4,3
26001,21188,1153,4994,139,0,18
4841,9644,245,387,7,6,1
5605,2604,68,127,5,2,0
25760,511,200,372,10,1,0
35565,7295,1312,589,83,1,1
10669,8825,644,536,1,0,1
6292,20229,916,1023,42,2,1
4766,14179,412,413,10,1,0
66655,66919,789,585,44,1,0
260353,34675,5167,5601,188,1,0
1820,7342,104,332,1,1,0
30355,71604,440,970,52,0,0
26001,21188,1153,4994,139,0,21
3507,1482,330,1014,39,0,30
29143,29676,1826,2568,56,0,42
394,1261,13,237,0,0,95
1380,1698,31,278,0,0,95
26001,21188,1153,4994,139,0,30
121080,2708,859,523,37,0,0
20544,54013,177,97,22,0,0
131445,100710,1580,547,50,0,23
4587,1856,47,209,1,0,0
4173,13887,1203,1178,4,1,0
14490,19744,791,790,20,2,0
29143,29676,1826,2568,56,1,0
3129,9926,41264,249,264,0,9
2018,6545,977,576,3,3,0
33468,77660,953,768,33,1,0
45326,37179,3560,5001,115,4,0
1869,2695,40,71,0,1,0
1943,4171,176,668,4,1,0
787,759,31,264,2,0,30
28316,6303,194,468,24,0,30
6292,20229,916,1023,42,0,30
73350,124142,1984,3026,81,2,0
98418,94338,842,1287,58,0,0
491673,290292,56262,59719,1324,0,51
272270,53285,15453,7516,440,2,0
9060,3580,62883,565,363,5,0
4628,12852,504,1182,18,4,0
52636,16900,1374,982,60,1,0
604,333,28,210,5,1,0
4439,245,88,109,11,2,0
3978,1500,136,157,9,7,0
10183,45886,404,820,9,1,0
26001,21188,1153,4994,139,0,20
1966,503,33,111,0,1,0
13287,7730,216,569,5,0,38
18956,10912,544,739,13,3,0
15402,31291,447,440,19,1,0
12062,29788,324,624,1,0,0
51879,12296,270,1151,28,1,0
25760,511,200,372,10,0,30
26001,21188,1153,4994,139,0,23
35757,55651,621,971,18,0,1
8536,16055,344,907,14,2,0
1850,3337,150,244,6,3,0
25760,511,200,372,10,0,23
26001,21188,1153,4994,139,0,46
37866,18444,414,292,4,0,0
7140,10145,205,996,1,0,30
33468,77660,953,768,33,0,30
161036,7039,4693,674,86,2,0
1264,1503,69,412,4,1,0
26001,21188,1153,4994,139,0,38
4194,1306,1649,2479,37,0,0
8637,3986,113,69,2,2,0
20182,15442,375,115,9,1,0
76709,42361,948,2369,52,2,0
107049,2019,2244,852,81,0,0
149164,109563,1182,259,69,1,0
16842,28203,243,1616,53,1,0
18956,10912,544,739,13,4,0
414416,27208,2017,817,168,1,0
41584,29465,900,593,36,1,0
107140,7608,741,858,17,0,0
26001,21188,1153,4994,139,0,43
380,455,23,33,0,0,1
26001,21188,1153,4994,139,0,95
91143,16167,36597,4039,1057,9,1
6156,2960,61,299,2,1,0
4922,11,39,8,64,0,0
26001,21188,1153,4994,139,0,42
3617,32,523,83,9,6,0
272270,53285,15453,7516,440,0,0
260014,105022,4065,1442,107,6,0
5605,2604,68,127,5,1,0
21899,11570,609,1003,29,2,0
45326,37179,3560,5001,115,2,0
18139,30872,395,290,21,3,0
4306,1098,54,452,2,5,0
34712,6011,3551,746,205,0,1
2487,3007,24,159,9,6,0
260353,34675,5167,5601,188,1,0
10323,36127,658,686,21,0,71
147277,824,1243,1906,117,8,0
15998,13280,751,759,41,2,0
14737,2140,369,257,7,6,0
79950,103268,856,4154,20,2,0
17436,5011,6173,6510,147,0,30
8637,3986,113,69,2,10,0
16882,3578,852,408,9,3,0
6185,3838,152,259,2,1,0
272270,53285,15453,7516,440,0,0
380,455,23,33,0,1,0
991,1945,203,143,0,2,0
52636,16900,1374,982,60,17,0
34436,912,288,319,15,0,0
1943,4171,176,668,4,2,0
21899,11570,609,1003,29,0,1
18956,10912,544,739,13,0,1
10323,36127,658,686,21,4,0
872153,78090,129682,1187,339,0,30
19949,21550,718,767,76,1,0
